airline,origin_airport,Stopover_Airport,destination_airport,Origin_Departure_Delay,Stopover_Arrival_Delay,Stopover_Departure_Delay,Destination_Arrival_Delay
VX,SFO,LAS,LAS,5,0,79,97
B6,SFO,BOS,BOS,177,184,-7,-13
AA,SFO,CLT,CLT,209,190,33,44
DL,SFO,LAX,LAX,16,34,40,33
DL,SFO,LAX,LAX,11,24,55,35
B6,SFO,BOS,BOS,-3,-9,31,20
AA,SFO,CLT,CLT,169,181,6,-4
AA,SFO,ORD,ORD,25,-2,-2,38
DL,SFO,LAX,LAX,0,17,68,40
AA,SFO,DFW,DFW,-5,-16,24,14
AA,SFO,ORD,ORD,1,-31,-2,38
AA,SFO,CLT,CLT,32,33,6,-4
DL,SFO,LAX,LAX,55,55,15,4
B6,SFO,LAS,LAS,185,176,1,
DL,SFO,LAX,LAX,75,52,-1,4
DL,SFO,LAX,LAX,75,52,33,30
DL,SFO,LAX,LAX,9,1,-1,4
B6,SFO,BOS,BOS,28,13,-5,-8
AA,SFO,CLT,CLT,19,42,28,27
AA,SFO,CLT,CLT,-1,-6,28,27
AA,SFO,ORD,ORD,-1,-3,18,28
AA,SFO,DFW,DFW,-2,-33,33,70
DL,SFO,LAX,LAX,32,18,12,9
AA,SFO,DFW,DFW,56,62,58,162
AA,SFO,ORD,ORD,9,-4,8,108
DL,SFO,LAX,LAX,-4,9,2,26
DL,SFO,LAX,LAX,-4,9,17,10
AA,SFO,DFW,DFW,-2,-28,58,162
AA,SFO,DFW,DFW,22,14,58,162
AA,SFO,CLT,CLT,-3,-9,74,86
B6,SFO,BOS,BOS,101,107,195,204
B6,SFO,BOS,BOS,101,107,265,260
DL,SFO,LAX,LAX,69,78,16,20
AS,SFO,SEA,SEA,1,-4,32,2
VX,SFO,LAS,LAS,8,9,4,14
DL,SFO,LAX,LAX,23,28,16,20
B6,SFO,BOS,BOS,37,11,-4,-4
AA,SFO,CLT,CLT,-3,-34,20,31
AA,SFO,DFW,DFW,1,-16,-3,-10
AA,SFO,ORD,ORD,6,-28,177,153
DL,SFO,LAX,LAX,-3,-2,44,4
AA,SFO,ORD,ORD,5,-27,0,-17
AA,SFO,DFW,DFW,18,6,19,8
AA,SFO,ORD,ORD,9,-31,0,-17
DL,SFO,LAX,LAX,3,-3,42,15
DL,SFO,SLC,SLC,9,0,-4,-7
AS,SFO,SEA,SEA,-6,-21,7,-7
B6,SFO,BOS,BOS,26,-21,-1,-5
AA,SFO,CLT,CLT,-1,-22,27,12
AA,SFO,CLT,CLT,-1,-34,3,-4
AA,SFO,ORD,ORD,5,-18,0,-20
AA,SFO,DFW,DFW,-4,-23,0,-23
AA,SFO,DFW,DFW,5,-20,0,-23
DL,SFO,LAX,LAX,-1,-2,78,81
AA,SFO,CLT,CLT,-1,-9,95,87
B6,SFO,BOS,BOS,-3,-37,6,-7
DL,SFO,MSP,MSP,11,-4,8,3
AA,SFO,ORD,ORD,-3,-29,-2,-15
AA,SFO,DFW,DFW,-5,-17,7,-13
AA,SFO,ORD,ORD,-3,-43,-2,-15
AA,SFO,CLT,CLT,-2,-22,-1,-5
DL,SFO,LAX,LAX,-2,-8,121,90
AA,SFO,CLT,CLT,10,2,37,27
VX,SFO,LAS,LAS,-3,13,-8,-36
DL,SFO,LAX,LAX,68,56,1,-14
B6,SFO,BOS,BOS,4,-15,9,6
AA,SFO,CLT,CLT,-2,13,-1,15
AA,SFO,CLT,CLT,-2,13,2,9
AA,SFO,DFW,DFW,-2,25,35,31
DL,SFO,LAX,LAX,5,-11,7,12
B6,SFO,LAS,LAS,-1,-1,11,10
AA,SFO,DFW,DFW,-2,38,-3,93
DL,SFO,LAX,LAX,-5,-12,29,34
AA,SFO,CLT,CLT,-8,10,56,53
DL,SFO,LAX,LAX,16,15,0,-8
AS,SFO,SEA,SEA,-9,-10,-1,-26
B6,SFO,LAS,LAS,2,9,-2,0
AS,SFO,SEA,SEA,-5,-20,-1,-26
VX,SFO,LAS,LAS,10,13,-5,-10
B6,SFO,LGB,LGB,-6,-14,11,19
B6,SFO,BOS,BOS,20,23,1,8
DL,SFO,LAX,LAX,108,102,13,-10
B6,SFO,LAS,LAS,-6,1,4,-21
B6,SFO,BOS,BOS,-8,-26,195,194
DL,SFO,LAX,LAX,39,16,13,-10
DL,SFO,LAX,LAX,0,11,13,-10
AA,SFO,ORD,ORD,26,3,8,21
AA,SFO,DFW,DFW,-1,-24,9,16
DL,SFO,LAX,LAX,2,0,10,-4
AA,SFO,ORD,ORD,-2,-21,8,21
AA,SFO,CLT,CLT,0,-13,9,27
B6,SFO,BOS,BOS,13,13,62,67
B6,SFO,BOS,BOS,13,13,68,69
B6,SFO,BOS,BOS,13,13,124,133
DL,SFO,LAX,LAX,0,-2,0,-30
AS,SFO,SEA,SEA,-16,-4,-2,-21
DL,SFO,LAX,LAX,60,49,0,-31
AS,SFO,SEA,SEA,-17,-2,-2,-21
DL,SFO,LAX,LAX,-3,9,-1,-35
DL,SFO,LAX,LAX,4,7,1,-39
DL,SFO,LAX,LAX,4,7,-1,-35
B6,SFO,BOS,BOS,-1,-7,39,49
AA,SFO,CLT,CLT,-5,-15,-4,-23
DL,SFO,MSP,MSP,0,-3,-4,-27
AA,SFO,CLT,CLT,-3,-2,-2,7
AA,SFO,ORD,ORD,-6,-17,-4,-31
B6,SFO,LAS,LAS,-7,-4,7,-14
B6,SFO,BOS,BOS,-2,-4,-2,-8
DL,SFO,LAX,LAX,5,-14,5,-19
DL,SFO,LAX,LAX,-2,-7,5,-19
AA,SFO,ORD,ORD,-3,-14,-5,-23
AA,SFO,DFW,DFW,-2,-17,-1,-10
AA,SFO,DFW,DFW,-2,-17,387,363
DL,SFO,LAX,LAX,-3,11,-5,-34
AA,SFO,ORD,ORD,-6,-12,-5,-23
AA,SFO,CLT,CLT,-4,-14,7,-1
AA,SFO,DFW,DFW,-2,-15,387,363
DL,SFO,LAX,LAX,-2,-5,-6,-23
AS,SFO,SEA,SEA,-11,3,-5,-38
AS,SFO,SEA,SEA,-10,-7,-5,-38
DL,SFO,LAX,LAX,-5,-21,0,-28
DL,SFO,LAX,LAX,-5,-21,-1,-9
DL,SFO,LAX,LAX,-2,-10,0,-28
AA,SFO,CLT,CLT,-3,-13,-1,-15
AA,SFO,ORD,ORD,2,-13,-4,-21
AA,SFO,DFW,DFW,-3,-17,0,-25
